Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Contribution to Provident and Other Funds,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Consumed (Quantity),Fuels Consumed - Electricity Produced (Quantity),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Electricity Sold (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Mandays - Workers,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Old Age Benefits,Other Benefits,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Social Security Benefits,Supervisory and Managerial Staff,Total Emoluments,Total Emoluments including Employers' Contribution,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital,Workmen and Staff Welfare Expenses
1986 - 1987,All India,8.31,12.05,3.02,23.36,,,15.03,,113.53,,,,80314.0,4074.0,76241.0,0.0,,,12.47,53.85,30.47,200.55,,,37.89,,327.21,774.34,15.46,140.73,185.52,79.401,2077.0,,235.91,194.8,65.809,,,,,,3.53,1.72,,294.79,8.24,213.68,248.38,1145.98,60.77,6.9,,2.99,,71.73,79.97,1045.16,81.946,,1245.71,,,,49.24,134.85,
1987 - 1988,All India,17.08,34.74,7.24,59.07,,,32.18,,189.81,,,,98345.0,5297.0,93197.0,151.0,,,17.38,94.02,34.93,292.14,,,47.98,,482.2,1011.67,2.76,203.42,259.96,99.102,2294.0,,293.39,245.56,82.449,,,,,,4.44,2.62,,380.52,10.67,292.39,335.9,1541.45,92.68,8.54,,3.61,,100.08,110.75,1380.27,101.704,,1672.41,,,,69.43,146.09,
1988 - 1989,All India,19.58,89.28,17.43,126.29,,10.1,36.14,,201.03,,,,111755.0,10489.0,101551.0,286.0,,,22.79,205.57,79.29,435.78,,,52.37,,601.15,1173.47,43.14,335.76,399.64,109.236,2407.0,,324.19,269.72,91.376,,,,,,,,,220.41,16.87,400.12,474.26,1849.94,196.37,11.5,,,,122.51,139.38,1623.23,112.188,,2059.01,,,,87.52,273.23,6.77
1989 - 1990,All India,68.3,106.89,39.1,214.3,,13.98,48.78,,269.72,,,,162279.0,12293.0,150006.0,20.0,,,28.12,318.43,104.13,609.17,,,75.76,,927.85,1768.65,55.36,470.95,560.39,132.556,2488.0,,393.02,328.68,111.431,,,,,,,,,248.54,23.85,658.13,696.11,2738.56,283.65,13.67,,,,163.44,187.29,2420.96,135.597,,3030.11,,,,115.8,426.39,9.87
1990 - 1991,All India,0.15,26.71,-0.79,26.06,,17.86,55.23,,330.41,,,,149911.0,10384.0,139528.0,0.0,,,33.62,131.52,105.47,780.01,,,83.74,,967.54,1976.76,50.23,625.53,724.78,143.052,2791.0,,421.05,352.63,120.169,,,,,,,,,280.31,28.55,637.13,855.84,3135.96,398.66,15.52,,,,198.29,226.84,2711.97,146.261,,3491.98,,,,142.95,525.43,10.69
1991 - 1992,All India,47.82,73.77,17.41,139.01,,23.51,65.8,,490.78,,,,186518.0,16934.0,169584.0,0.0,,,47.03,308.6,169.59,1089.87,,,127.37,,1282.7,2585.49,103.78,874.21,1024.07,157.921,3024.0,,465.14,390.03,132.516,,,,,,,,,447.66,38.45,791.92,1422.63,4209.65,594.63,22.5,,,,241.14,279.59,3552.68,161.279,,4642.56,,,,169.45,931.85,14.94
1992 - 1993,All India,80.61,179.95,38.12,298.67,,27.36,83.83,,607.45,,,,228692.0,18470.0,210285.0,65.0,,,71.15,521.78,223.09,1264.02,,,152.22,,1775.56,3245.06,139.27,998.92,1180.19,185.24,3487.0,,542.08,456.16,154.699,,,,,,,,,525.07,47.31,1168.11,1867.73,5269.31,626.13,29.04,,,,325.48,372.79,4530.09,188.312,,5794.11,,,,229.75,1260.28,19.95
1993 - 1994,All India,149.95,338.0,84.41,572.37,,41.2,131.29,,1121.25,,,,249076.0,26224.0,222998.0,148.0,,,86.8,1012.2,439.82,2625.73,,,183.27,,2862.17,4420.33,308.53,2262.98,2494.44,252.991,4585.0,,763.85,627.0,213.819,,,,,,,,,714.27,69.16,1740.92,2948.61,8089.5,1739.47,48.19,,,,454.36,523.52,6198.5,258.612,,8824.24,,,,324.38,1827.36,27.96
1994 - 1995,All India,159.11,315.11,109.39,583.59,,49.79,195.91,,1832.38,,,,335712.0,41586.0,303501.0,9375.0,,,135.77,1317.2,733.62,2994.52,,,244.06,,4119.33,5614.88,537.72,2501.51,2798.61,295.596,5023.0,,869.54,741.59,251.079,,,,,,,,,1105.38,85.67,2286.95,4601.02,9986.74,1813.53,53.03,,,,602.31,687.98,7885.75,301.019,,10880.28,,,,441.78,2768.64,35.88
1995 - 1996,All India,155.42,278.46,97.73,531.61,,67.93,267.07,,2486.46,,,,,,,,,,173.48,1335.25,803.64,3215.29,,,408.63,,5731.48,7859.33,536.57,2457.63,2948.22,314.942,5019.0,,921.39,778.83,259.189,,,,,,,,,1724.45,114.96,3245.02,5681.23,12700.05,1597.11,81.96,,,,745.56,860.52,10596.1,322.496,,13811.39,,,,529.67,3194.77,47.03
