typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20020101","2002","52","2002","699","IND","India","X","Export","0","W00","World","0","W00","World","H1","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2208446737","2208446737","0","false","false",
"C","A","20020101","2002","52","2002","699","IND","India","X","Export","0","W00","World","0","W00","World","H1","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3290584677","3290584677","0","false","false",
"C","A","20030101","2003","52","2003","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2576914747","2576914747","0","true","false",
"C","A","20030101","2003","52","2003","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3339291465","3339291465","0","true","false",
"C","A","20040101","2004","52","2004","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2659524830","2659524830","0","true","false",
"C","A","20040101","2004","52","2004","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3755449035","3755449035","0","true","false",
"C","A","20050101","2005","52","2005","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3124753929","3124753929","0","true","false",
"C","A","20050101","2005","52","2005","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5075898914","5075898914","0","true","false",
"C","A","20060101","2006","52","2006","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3576970281","3576970281","0","true","false",
"C","A","20060101","2006","52","2006","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5438100921","5438100921","0","true","false",
"C","A","20070101","2007","52","2007","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4129436730","4129436730","0","true","false",
"C","A","20070101","2007","52","2007","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5243922990","5243922990","0","true","false",
"C","A","20080101","2008","52","2008","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4381111325","4381111325","0","true","false",
"C","A","20080101","2008","52","2008","699","IND","India","X","Export","0","W00","World","0","W00","World","H2","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5883939758","5883939758","0","true","false",
"C","A","20090101","2009","52","2009","699","IND","India","X","Export","0","W00","World","0","W00","World","H3","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5187318731","5187318731","0","true","false",
"C","A","20090101","2009","52","2009","699","IND","India","X","Export","0","W00","World","0","W00","World","H3","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6124697241","6124697241","0","true","false",
