Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Contribution to Provident and Other Funds,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Consumed (Quantity),Fuels Consumed - Electricity Produced (Quantity),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Electricity Sold (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Mandays - Workers,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Old Age Benefits,Other Benefits,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Social Security Benefits,Supervisory and Managerial Staff,Total Emoluments,Total Emoluments including Employers' Contribution,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital,Workmen and Staff Welfare Expenses
1973 - 1974,All India,,,,,,,,,12.74,,,,,,,,,,0.97,,,,,,,,47.79,109.3,,,,35.24,1047.0,,,,28.508,,,,,,,,,44.31,,35.05,34.04,,,,,,,9.8,,123.3,,,,,,,7.01,21.3,
1974 - 1975,All India,,,,,,,,,12.51,,,,,,,,,,1.24,,,,,,,,45.52,98.4,,,,36.753,1047.0,,83.83,,29.86,,,,,,,,,40.3,,33.01,34.97,,,,,,,11.26,,130.64,,,,,,,7.62,22.46,
1975 - 1976,All India,,,,,,,,,19.14,,,,,,,,,,1.8,,,,,,,,62.74,132.22,,,,44.043,1292.0,,121.15,,35.689,,,,,,,,,53.24,,43.6,43.06,,,,,,,15.34,,193.05,,,,,,,10.16,23.92,
1976 - 1977,All India,,,,,,,,,23.08,,,,,,,,,,2.33,,,,,,,,71.68,170.09,,,,58.834,1531.0,,162.0,,48.381,,,,,,,,,65.37,,48.6,54.4,,,,,,,21.16,,243.33,,,,,,,15.15,31.32,
1977 - 1978,All India,,,,,,,,,29.26,,,,,,,,,,2.76,,,,,,,,86.87,193.74,,,,64.409,1580.0,,177.0,,52.808,,,,,,,,,72.7,,57.61,67.05,,,,,,,25.54,,291.73,,,,,,,17.29,37.79,
1978 - 1979,All India,,,,,,,,,36.93,,,,,,,,,,3.29,,,,,,,,105.23,217.88,,,,64.356,1835.0,,182.0,,52.643,,,,,,,,,84.23,,68.3,87.83,,,,,,,27.84,,343.7,,,,,,,20.38,50.9,
1979 - 1980,All India,,,,,,,,,36.8,,,,,,,,,,3.51,,,,,,13.31,,115.35,247.56,,,,68.775,1934.0,,185.75,153.07,55.337,,,,,,1.37,0.56,,102.49,3.11,78.55,87.83,,,2.94,,1.18,,30.34,,378.0,,,,,,,21.56,51.03,
1980 - 1981,All India,,,,,,,,,43.35,,,,,,,,,,4.4,,,,,,15.71,,144.37,312.17,,,,64.483,2078.0,,185.91,154.47,52.731,,,,,,1.48,0.7,,134.56,3.4,101.02,95.02,,,3.61,,1.22,,33.87,,486.56,66.661,,,,,,22.46,51.67,
1981 - 1982,All India,,,,,,,,,47.01,,,,53859.0,1564.0,,0.0,,,5.46,,,,,,21.75,,167.0,373.7,,,,66.222,2061.0,,191.23,159.88,55.307,,,,,,1.61,0.93,,154.43,3.91,119.99,107.74,,,3.5,,1.37,,36.57,,579.85,68.324,,,,,,25.53,60.73,
1982 - 1983,All India,,,,,,,,,59.31,,,,68536.0,3390.0,,86.0,,,6.63,,,,,,22.78,,181.26,434.0,,,,67.052,1765.0,,196.44,167.52,55.646,,,,,,1.94,0.97,,162.97,4.39,121.95,141.19,,,3.91,,1.48,,41.43,,671.17,69.472,,,,,,28.22,81.88,
