Date,Value_2016base
01-11-1987,11.48488243
01-12-1987,11.43924713
01-01-1988,11.4544589
01-02-1988,11.39361184
01-03-1988,11.4544589
01-04-1988,11.60657654
01-05-1988,11.72827066
01-06-1988,11.89560008
01-07-1988,12.09335302
01-08-1988,12.16941184
01-09-1988,12.26068243
01-10-1988,12.52399808
01-11-1988,12.59899208
01-12-1988,12.44900408
01-01-1989,12.37401008
01-02-1989,12.37401008
01-03-1989,12.44900408
01-04-1989,12.52399808
01-05-1989,12.67398608
01-06-1989,12.74898008
01-07-1989,12.89896808
01-08-1989,13.04895608
01-09-1989,13.19894408
01-10-1989,13.19894408
01-11-1989,13.19894408
01-12-1989,13.12395008
01-01-1990,13.04895608
01-02-1990,13.12395008
01-03-1990,13.27393808
01-04-1990,13.49892009
01-05-1990,13.64890809
01-06-1990,13.87389009
01-07-1990,14.17386609
01-08-1990,14.24886009
01-09-1990,14.32385409
01-10-1990,14.62383009
01-11-1990,14.8488121
01-12-1990,14.9238061
01-01-1991,15.1487881
01-02-1991,15.1487881
01-03-1991,15.0737941
01-04-1991,15.1487881
01-05-1991,15.2987761
01-06-1991,15.6737461
01-07-1991,16.0487161
01-08-1991,16.2736981
01-09-1991,16.57367411
01-10-1991,16.72366211
01-11-1991,16.87365011
01-12-1991,16.87365011
01-01-1992,17.09863211
01-02-1992,17.17362611
01-03-1992,17.17362611
01-04-1992,17.32361411
01-05-1992,17.54859611
01-06-1992,17.69858411
01-07-1992,18.14854812
01-08-1992,18.14854812
01-09-1992,18.22354212
01-10-1992,18.29853612
01-11-1992,18.29853612
01-12-1992,18.22354212
01-01-1993,18.07355412
01-02-1993,18.14854812
01-03-1993,18.22354212
01-04-1993,18.37353012
01-05-1993,18.44852412
01-06-1993,18.74850012
01-07-1993,18.97348212
01-08-1993,19.19846412
01-09-1993,19.42344612
01-10-1993,19.64842813
01-11-1993,19.87341013
01-12-1993,19.79841613
01-01-1994,19.72342213
01-02-1994,19.87341013
01-03-1994,20.02339813
