Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
1994 - 1995,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 - 1995,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 - 1995,Uttar Pradesh,479.79,1099.26,221.94,1800.98,,712.91,,9886.06,,,,,,,696.79,5844.49,4043.5,8795.65,,,937.41,,18576.75,17297.91,3330.6,6995.27,8082.74,8625.0,187.0,,2431.0,6948.0,,,,,,,4802.23,317.41,8690.69,18393.51,32368.2,4598.5,150.07,,,2079.37,25417.79,8780.0,,34213.44,,,,1364.1,8507.45
1994 - 1995,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 - 1995,West Bengal,211.72,87.24,56.14,355.11,,48.06,,267.22,,,,,,,79.95,357.4,2.31,1072.75,,,191.54,,1864.43,5203.35,-45.77,812.21,1024.68,1553.0,36.0,,440.0,1221.0,,,,,,,2433.14,39.38,1597.21,1715.91,7140.96,402.52,20.92,,,370.3,6450.0,1585.0,,7522.75,,,,263.46,1448.69
1995 - 1996,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Andhra Pradesh,-70.84,-45.83,23.7,-92.97,,114.62,,1980.63,,,,,,,77.58,254.73,347.7,897.65,,,286.46,,3176.86,3863.81,233.08,377.51,783.03,1841.0,34.0,,415.0,1640.0,,,,,,,973.39,30.76,1196.23,2739.23,4954.02,128.94,119.06,,,217.81,4488.51,1860.0,,5386.16,,,,165.46,758.6
1995 - 1996,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Bihar,4.55,45.92,-1.2,49.27,,12.89,,89.75,,,,,,,13.73,51.5,2.23,98.63,,,16.18,,222.93,359.31,-10.66,67.43,85.74,323.0,6.0,,97.0,260.0,,,,,,,106.06,10.08,133.18,266.11,411.81,9.06,2.13,,,48.29,414.01,327.0,,512.64,,,,25.88,176.36
1995 - 1996,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Dadra & Nagar Haveli,495.88,-440.09,44.97,100.76,,490.03,,8814.63,,,,,,,398.09,3340.94,3240.18,8502.61,,,243.91,,10066.78,33016.59,2750.15,7768.67,8012.58,148.0,5.0,,53.0,109.0,,,,,,,2084.88,8.67,1252.15,10828.84,42257.47,7715.89,0.0,,,44.11,33913.93,149.0,,42416.54,,,,18.87,2014.21
1995 - 1996,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Daman & Diu,-32.67,24.69,-62.27,-70.25,,61.06,,817.78,,,,,,,30.55,68.31,138.56,545.71,,,32.41,,1050.23,799.98,77.5,450.08,484.65,557.0,6.0,,167.0,469.0,,,,,,,154.1,11.6,232.45,1373.22,1082.92,310.11,2.16,,,128.37,944.33,558.0,,1490.04,,,,89.31,555.44
1995 - 1996,Delhi,2305.47,1829.98,540.48,4675.93,,4609.65,,32306.72,,,,,,,3726.03,14269.38,9593.45,70672.78,,,7134.3,,104904.48,167179.08,4983.8,57787.46,66063.13,35935.0,672.0,,10929.0,25987.0,,,,,,,24035.88,2627.22,72597.76,117396.85,287271.25,41741.43,1141.37,,,13418.81,251207.45,37684.0,,321880.23,,,,7625.17,85090.13
1995 - 1996,Goa,-91.53,7.27,-3.9,-88.16,,14.75,,148.04,,,,,,,6.17,-47.49,40.67,347.26,,,70.18,,532.12,476.73,25.92,255.28,332.51,545.0,8.0,,166.0,498.0,,,,,,,89.65,15.23,384.08,309.81,995.24,166.6,7.05,,,73.45,703.51,548.0,,1050.77,,,,53.47,161.77
1995 - 1996,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Gujarat,-291.99,-143.5,-117.01,-552.5,,992.05,,7589.95,,,,,,,743.21,1758.34,2310.84,6586.23,,,879.79,,13558.45,19985.81,1318.79,4455.48,5594.18,13507.0,159.0,,4012.0,11643.0,,,,,,,4227.72,483.59,5968.5,14920.15,26551.77,958.4,258.91,,,3013.49,23741.94,13732.0,,30328.17,,,,2340.77,7330.2
1995 - 1996,Haryana,401.66,532.13,161.78,1095.57,,877.5,,13265.67,,,,,,,624.83,9383.84,8288.27,15708.85,,,817.57,,18532.26,15279.91,7410.77,13909.28,14831.35,6217.0,60.0,,1742.0,4970.0,,,,,,,5819.66,410.71,5266.59,18165.48,35592.51,11351.82,104.5,,,2146.75,21974.87,6240.0,,37683.72,,,,1297.84,4899.81
1995 - 1996,Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Jammu & Kashmir,123.79,-52.12,-4.46,67.21,,47.39,,571.13,,,,,,,7.26,153.06,85.85,423.76,,,94.72,,1276.59,2821.35,38.46,272.98,376.37,617.0,8.0,,186.0,493.0,,,,,,,592.75,11.6,705.46,1261.76,3301.42,37.0,8.67,,,224.38,3176.76,618.0,,3600.52,,,,146.96,690.63
1995 - 1996,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Karnataka,1703.53,11243.41,358.83,13305.77,,3527.36,,30060.13,,,,,,,1779.44,23930.71,10624.94,37736.07,,,4631.19,,73345.49,76698.6,7097.58,26909.16,34208.71,80507.0,525.0,,23391.0,68476.0,,,,,,,23867.31,2211.35,43285.36,58434.3,118440.62,8239.21,2668.36,,,16458.6,100953.62,80894.0,,138689.69,,,,14755.94,28374.17
1995 - 1996,Kerala,30.99,363.22,39.41,433.62,,151.73,,2262.93,,,,,,,46.25,1507.28,1073.66,1122.37,,,310.93,,4344.92,3547.66,921.93,652.12,970.64,3521.0,28.0,,1021.0,3198.0,,,,,,,1596.75,79.01,2081.99,3072.11,4879.33,23.79,7.59,,,549.32,3921.0,3527.0,,5043.37,,,,430.2,809.18
1995 - 1996,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Madhya Pradesh,107.93,-10.15,3.28,101.06,,25.44,,271.2,,,,,,,28.01,160.05,58.99,336.54,,,42.7,,632.82,820.7,33.55,261.75,311.1,1064.0,12.0,,320.0,818.0,,,,,,,612.86,28.59,361.62,508.97,1172.84,24.29,6.65,,,208.87,1159.32,1067.0,,1495.86,,,,125.03,237.77
1995 - 1996,Maharashtra,2684.51,4655.25,3529.48,10869.24,,4281.12,,41047.05,,,,,,,3093.28,20291.18,9421.94,59056.51,,,7968.59,,95504.48,161114.58,5140.82,46034.26,54775.39,31335.0,930.0,,9253.0,22375.0,,,,,,,27326.83,2117.27,54457.43,99522.38,265558.06,32119.33,772.54,,,11797.66,225368.41,32102.0,,284424.92,,,,6981.67,58475.33
1995 - 1996,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Orissa,3.22,22.46,19.5,45.18,,20.26,,168.01,,,,,,,6.04,46.69,1.51,129.17,,,46.4,,256.68,342.42,-18.75,54.71,108.91,582.0,9.0,,182.0,507.0,,,,,,,257.08,6.05,88.67,210.12,474.59,-12.46,7.8,,,61.12,457.97,611.0,,587.14,,,,39.21,42.11
1995 - 1996,Puducherry,90.51,35.94,25.0,151.45,,173.46,,3146.24,,,,,,,31.72,1702.47,1551.02,772.48,,,438.11,,3623.26,1499.85,1377.56,155.19,599.02,1107.0,5.0,,336.0,1003.0,,,,,,,2691.73,35.89,477.02,3833.68,2656.33,-25.7,5.72,,,145.0,1947.93,1110.0,,2720.41,,,,88.69,687.44
1995 - 1996,Punjab,1820.3,3487.19,601.85,5909.34,,1851.71,,13688.74,,,,,,,1443.58,12164.1,6254.76,17520.29,,,2964.43,,40694.22,52165.63,4403.05,12462.94,15668.58,12280.0,431.0,,3653.0,9397.0,,,,,,,11347.95,353.97,27005.48,55055.46,75496.25,8105.08,241.21,,,4003.89,63589.86,13831.0,,81110.15,,,,2890.14,41366.72
1995 - 1996,Rajasthan,-216.22,-30.76,37.4,-209.58,,979.64,,10430.55,,,,,,,295.14,3255.24,3464.82,6255.16,,,546.31,,15451.17,8952.03,2485.18,4686.69,5275.52,4597.0,75.0,,1374.0,3706.0,,,,,,,5943.16,104.73,5020.62,21738.73,19239.21,3377.9,42.52,,,1204.06,14195.2,4644.0,,20450.36,,,,810.66,11308.18
1995 - 1996,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Tamil Nadu,5633.32,5047.29,3296.6,13977.21,,7194.87,,57117.41,,,,,,,3470.33,30894.45,16917.24,83535.3,,,12241.46,,145170.65,207353.18,9722.37,61431.66,76340.43,110359.0,1817.0,,31946.0,96380.0,,,,,,,48266.27,2677.62,88053.24,117163.98,334681.49,40864.95,2667.31,,,17889.09,269215.92,112912.0,,352751.22,,,,13403.89,60046.57
1995 - 1996,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,Uttar Pradesh,681.49,1265.98,1175.51,3122.98,,1274.82,,21844.72,,,,,,,1321.27,6914.79,3791.81,9580.91,,,2047.12,,35125.8,23283.04,2516.99,6129.93,8306.09,7936.0,171.0,,2367.0,5924.0,,,,,,,12445.66,325.04,13281.08,35359.15,36390.6,3443.36,129.04,,,2361.53,30175.27,8072.0,,39756.18,,,,1356.56,13514.43
1995 - 1996,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 - 1996,West Bengal,133.63,-111.89,76.72,98.46,,63.82,,639.55,,,,,,,90.06,228.48,130.02,1280.61,,,236.66,,2726.81,4629.37,66.2,954.03,1216.79,1925.0,48.0,,536.0,1486.0,,,,,,,848.85,73.17,2087.26,3174.53,6537.13,395.81,26.1,,,485.05,6028.46,1966.0,,7309.07,,,,334.97,2534.98
1996 - 1997,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Andhra Pradesh,-19.87,334.19,91.54,405.86,,183.27,,2676.99,,,,,,,133.84,1861.77,1455.91,1044.59,,,314.63,,4259.44,4505.5,1272.64,491.11,861.32,1808.0,41.0,,526.0,1508.0,,,,,,,1854.03,40.22,1582.45,3525.75,6109.51,49.94,55.58,,,400.95,5290.34,1833.0,,6334.93,,,,277.35,848.76
1996 - 1997,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Dadra & Nagar Haveli,2628.39,4444.0,479.33,7551.72,,449.27,,7943.99,,,,,,,307.78,8167.89,616.17,6475.13,,,521.11,,16726.16,31630.64,166.9,5504.6,6025.86,153.0,4.0,,56.0,122.0,,,,,,,4461.48,4.67,8782.17,20418.87,39049.48,5450.74,0.15,,,49.19,32639.72,155.0,,39114.85,,,,26.7,12474.88
1996 - 1997,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Daman & Diu,30.55,170.72,20.88,222.15,,90.5,,1197.78,,,,,,,59.11,607.65,385.5,1297.08,,,82.36,,1798.0,1940.9,295.0,1109.28,1206.58,768.0,4.0,,234.0,662.0,,,,,,,216.29,41.09,600.22,2091.6,3662.79,819.17,14.94,,,249.02,2566.42,773.0,,3863.5,,,,181.43,893.82
1996 - 1997,Delhi,-1120.39,3997.0,-212.8,2663.81,,5251.83,,38237.53,,,,,,,4429.5,13572.93,10909.12,65137.93,,,7302.18,,110970.68,161214.23,5657.29,51485.15,59886.1,29952.0,729.0,,8979.0,20827.0,,,,,,,31267.33,2793.63,72733.15,159443.4,271715.43,35654.85,1098.77,,,13036.67,247650.45,30563.0,,312788.38,,,,6740.14,121205.87
1996 - 1997,Goa,10.4,-41.82,-40.05,-71.47,,28.41,,668.14,,,,,,,16.91,321.72,393.19,434.38,,,131.14,,1097.36,892.11,364.78,271.26,405.97,703.0,7.0,,217.0,636.0,,,,,,,557.29,19.46,429.22,-18.75,1609.44,142.42,3.57,,,109.38,1219.75,706.0,,1654.13,,,,73.24,-686.89
1996 - 1997,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Gujarat,325.95,1393.9,160.27,1880.12,,667.89,,8454.3,,,,,,,836.37,1077.01,-803.11,8010.72,,,1153.71,,16854.8,19437.12,-1471.0,5951.01,7342.83,12872.0,145.0,,3907.0,11092.0,,,,,,,4715.56,615.61,8400.5,16919.64,29053.29,1906.12,238.11,,,3429.28,25283.68,12998.0,,33294.4,,,,2570.63,8465.34
1996 - 1997,Haryana,2.73,893.45,-635.97,260.21,,1684.02,,25915.7,,,,,,,855.88,2524.88,2264.67,16120.57,,,2004.31,,34431.64,15984.42,580.65,12140.6,14436.55,7833.0,78.0,,2399.0,6259.0,,,,,,,8323.18,409.55,8515.94,32751.67,39591.78,8854.2,291.64,,,2876.85,26500.08,7881.0,,42620.65,,,,1687.39,6835.97
1996 - 1997,Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Jammu & Kashmir,-202.39,6.15,-1.51,-197.75,,52.34,,540.15,,,,,,,7.0,-178.37,19.38,449.39,,,99.85,,1049.17,2404.21,-32.96,284.76,397.05,632.0,8.0,,178.0,498.0,,,,,,,480.09,14.62,509.02,1291.63,2758.22,29.35,12.44,,,240.79,2782.01,633.0,,3231.4,,,,148.07,751.48
1996 - 1997,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Karnataka,3453.56,2353.08,1132.74,6939.38,,4218.08,,34649.56,,,,,,,2342.39,14774.85,7835.47,45559.67,,,7936.16,,79613.41,92526.92,3617.39,30484.52,41341.59,91101.0,482.0,,26737.0,82017.0,,,,,,,26991.54,2784.29,44963.85,60658.31,139294.96,6467.7,2920.91,,,21232.53,121781.87,91421.0,,167341.54,,,,16475.88,26008.75
1996 - 1997,Kerala,-82.89,-206.1,-20.17,-309.16,,140.97,,3586.63,,,,,,,51.06,1009.49,1318.65,376.09,,,501.92,,5076.3,3938.91,1177.68,-276.35,235.12,3608.0,27.0,,1060.0,3334.0,,,,,,,2335.04,100.86,1489.67,3433.87,4444.86,-1037.1,9.55,,,659.89,4438.24,3611.0,,4814.33,,,,547.59,-152.76
1996 - 1997,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Madhya Pradesh,114.41,15.35,-10.39,119.37,,38.23,,484.4,,,,,,,49.44,314.01,194.64,541.86,,,76.41,,985.69,826.41,156.41,411.44,503.63,1165.0,15.0,,356.0,929.0,,,,,,,804.17,30.88,501.29,904.93,1389.47,75.54,15.78,,,305.02,1263.27,1169.0,,1805.13,,,,203.71,420.53
1996 - 1997,Maharashtra,-392.78,1936.57,-1133.08,410.71,,3846.02,,33729.29,,,,,,,2755.47,6087.62,5676.91,45841.8,,,5988.61,,71761.15,100111.56,1830.89,35208.55,41995.78,30428.0,1212.0,,9315.0,22546.0,,,,,,,27737.88,2081.85,38031.86,69886.88,168472.76,21390.68,798.62,,,11736.02,145339.33,31607.0,,191181.13,,,,7171.28,36157.59
1996 - 1997,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Orissa,-25.65,-12.96,3.23,-35.38,,23.78,,181.07,,,,,,,28.87,-25.37,10.01,145.83,,,73.59,,364.65,363.91,-13.77,40.19,122.05,560.0,12.0,,165.0,446.0,,,,,,,435.76,8.72,183.58,317.66,524.5,-42.14,8.27,,,73.61,472.67,564.0,,618.5,,,,47.53,136.59
1996 - 1997,Puducherry,81.52,50.14,-4.53,127.13,,328.33,,6111.57,,,,,,,59.93,1852.79,1725.66,635.53,,,412.19,,6331.72,515.9,1397.33,-115.06,307.2,646.0,11.0,,185.0,569.0,,,,,,,2710.72,13.61,220.15,7096.3,1143.44,-246.12,10.07,,,117.45,649.6,648.0,,1285.13,,,,87.1,984.73
1996 - 1997,Punjab,1405.72,2099.49,-741.6,2763.61,,2883.69,,19481.13,,,,,,,2213.75,8842.49,6078.88,25640.09,,,4304.0,,50332.42,79221.76,3195.19,18214.97,22756.4,15865.0,502.0,,4769.0,12660.0,,,,,,,19758.61,562.89,30851.29,66967.88,114264.93,11340.44,237.43,,,6311.64,95011.95,16247.0,,120652.04,,,,4768.28,47486.75
1996 - 1997,Rajasthan,424.25,22.18,19.66,466.09,,363.44,,3364.59,,,,,,,160.86,1468.98,1002.89,4978.79,,,476.43,,6075.21,8117.52,639.45,4112.49,4615.35,5521.0,62.0,,1677.0,4786.0,,,,,,,2592.71,61.15,2710.62,9398.21,15173.83,2650.52,26.43,,,1400.82,11320.29,5606.0,,16299.08,,,,1128.02,6033.62
1996 - 1997,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Tamil Nadu,2455.69,1303.46,2766.58,6525.73,,8556.2,,65580.36,,,,,,,4364.76,19362.6,12836.87,88692.12,,,13378.99,,155672.61,201536.45,4280.67,64827.52,80135.92,113462.0,1853.0,,33342.0,99575.0,,,,,,,41448.3,3015.77,90092.25,148343.27,335514.17,41024.81,1929.41,,,20786.94,266813.3,115063.0,,355505.42,,,,15500.64,82762.91
1996 - 1997,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,Tripura,3.49,-0.22,0.0,3.27,,0.58,,4.39,,,,,,,2.09,4.1,0.83,2.94,,,1.2,,22.1,156.1,0.25,-2.31,2.36,78.0,4.0,,19.0,63.0,,,,,,,1.82,0.09,17.71,33.42,163.15,-8.92,3.47,,,6.52,163.21,83.0,,166.15,,,,4.7,29.03
1996 - 1997,Uttar Pradesh,552.0,919.5,230.02,1701.52,,934.22,,11480.87,,,,,,,921.8,4527.33,2825.81,10678.31,,,1942.94,,19118.9,19989.5,1891.59,7674.29,9744.09,7508.0,148.0,,2119.0,5678.0,,,,,,,6428.31,296.5,7638.03,22351.36,35197.31,5067.11,126.86,,,2310.68,28476.2,7581.0,,39154.51,,,,1322.3,10870.49
1996 - 1997,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 - 1997,West Bengal,-0.0400000000000063,-282.14,143.9,-138.28,,486.49,,3209.28,,,,,,,690.32,229.39,367.67,3440.89,,,542.03,,8181.31,17623.55,-118.82,2356.61,2954.4,8527.0,52.0,,2160.0,6052.0,,,,,,,4279.23,923.4,4972.03,3671.8,23312.44,-2446.06,55.76,,,3879.27,21200.58,8568.0,,24641.47,,,,2499.18,462.52
1997 - 1998,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Andhra Pradesh,-183.77,294.49,19.16,129.88,,578.55,,4437.41,,,,,,,220.99,881.18,751.3,2697.18,,,650.25,,10064.66,5099.05,172.75,1396.71,2118.63,4162.0,48.0,,,3750.0,,,,,,,1420.36,105.96,5627.25,9285.61,8202.82,455.12,71.67,,,835.63,7737.98,4197.0,,10435.16,,,,625.58,4848.2
1997 - 1998,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Daman & Diu,13.2,102.29,1.74,117.23,,100.04,,1121.72,,,,,,,62.03,304.13,186.9,3856.03,,,8.09,,1507.08,2582.97,86.86,3745.75,3755.99,1022.0,4.0,,,935.0,,,,,,,288.85,49.25,385.36,2166.0,7047.68,3433.26,2.15,,,263.24,3343.71,1023.0,,7199.74,,,,204.26,1044.28
1997 - 1998,Delhi,1201.55,595.91,1770.11,3567.57,,5424.8,,43823.93,,,,,,,3597.52,17509.73,13942.16,57748.1,,,8025.25,,112694.11,143363.82,8517.36,43313.15,52323.3,26007.0,533.0,,,17831.0,,,,,,,24711.42,2562.21,68870.18,132372.36,259368.19,28599.21,984.9,,,12151.73,237059.96,26515.0,,294808.06,,,,6443.99,88548.43
1997 - 1998,Goa,42.13,-6.67,-24.72,10.74,,67.82,,446.05,,,,,,,16.17,385.01,374.27,233.39,,,145.11,,787.21,463.46,306.45,14.16,165.57,261.0,6.0,,,221.0,,,,,,,479.64,13.62,341.16,748.91,835.06,-61.08,6.3,,,61.62,689.95,264.0,,923.34,,,,35.08,302.86
1997 - 1998,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Gujarat,1375.44,-130.79,172.08,1416.73,,977.31,,7944.22,,,,,,,1028.2,3203.11,1786.38,4755.56,,,975.47,,14168.79,16487.86,809.07,2549.96,3778.25,9889.0,145.0,,,8535.0,,,,,,,4648.35,470.9,6224.57,12588.2,23358.6,-884.34,252.82,,,2963.4,23896.07,9898.0,,28651.63,,,,2271.81,4643.98
1997 - 1998,Haryana,557.42,1809.85,821.85,3189.12,,2126.4,,18617.99,,,,,,,1674.42,-2045.78,-5234.9,7881.45,,,1907.47,,29163.6,18338.82,-7361.3,3617.29,5755.05,11536.0,97.0,,,9369.0,,,,,,,9326.36,734.75,10545.61,26581.87,32808.83,-1181.49,230.29,,,4064.03,33036.85,11546.0,,40918.3,,,,2285.83,7963.88
1997 - 1998,Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Jammu & Kashmir,-48.37,-10.42,11.71,-47.08,,59.6,,589.9,,,,,,,8.74,57.63,104.71,1471.7,,,99.21,,990.05,1757.85,45.11,1304.18,1412.1,880.0,7.0,,,681.0,,,,,,,419.14,18.07,400.15,1211.82,3254.45,991.92,8.71,,,294.19,2776.7,880.0,,4248.4,,,,193.7,621.92
1997 - 1998,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
